build,defect_category,test_case,test_approach,test_tool,runtime(millis),revision,build_start,build_duration
90,8,NA,1,terraform fmt,0,da91de9,20231028165553,01:22
90,8,NA,2,terraform validate,3,da91de9,20231028165553,01:22
90,6,NA,3,tfsec,8,da91de9,20231028165553,01:22
90,2,6,4,pytest,6,da91de9,20231028165553,01:22
90,6,13,4,pytest,6,da91de9,20231028165553,01:22
90,3,8,4,pytest,7,da91de9,20231028165553,01:22
90,4,10,4,pytest,6,da91de9,20231028165553,01:22
90,2,5,4,terraform test,2,da91de9,20231028165553,01:22
90,1,1,4,terraform test,6,da91de9,20231028165553,01:22
90,1,2,4,terraform test,2,da91de9,20231028165553,01:22
90,NA,NA,5,terraform apply,986642,da91de9,20231028165553,01:22
90,3,9,5,terraform test,4,da91de9,20231028165553,01:22
90,1,3,5,terraform test,1638,da91de9,20231028165553,01:22
90,1,4,5,terraform test,4,da91de9,20231028165553,01:22
90,2,7,5,terraform test,15,da91de9,20231028165553,01:22
90,NA,NA,5,terraform apply,604669,da91de9,20231028165553,01:22
90,5,NA,5,terratest,1591875,da91de9,20231028165553,01:22
91,8,NA,1,terraform fmt,0,c196f64,20231028183118,01:23
91,8,NA,2,terraform validate,3,c196f64,20231028183118,01:23
91,6,NA,3,tfsec,8,c196f64,20231028183118,01:23
91,2,6,4,pytest,6,c196f64,20231028183118,01:23
91,6,13,4,pytest,6,c196f64,20231028183118,01:23
91,3,8,4,pytest,6,c196f64,20231028183118,01:23
91,4,10,4,pytest,6,c196f64,20231028183118,01:23
91,2,5,4,terraform test,2,c196f64,20231028183118,01:23
91,1,1,4,terraform test,6,c196f64,20231028183118,01:23
91,1,2,4,terraform test,3,c196f64,20231028183118,01:23
91,NA,NA,5,terraform apply,875,c196f64,20231028183118,01:23
91,3,9,5,terraform test,4,c196f64,20231028183118,01:23
91,1,3,5,terraform test,1649,c196f64,20231028183118,01:23
91,1,4,5,terraform test,5,c196f64,20231028183118,01:23
91,2,7,5,terraform test,3,c196f64,20231028183118,01:23
91,NA,NA,5,terraform destroy,623,c196f64,20231028183118,01:23
91,5,NA,5,terratest,1736870,c196f64,20231028183118,01:23
92,8,NA,1,terraform fmt,0,5a84c6d,20231028195822,00:02
92,8,NA,2,terraform validate,3,5a84c6d,20231028195822,00:02
92,6,NA,3,tfsec,7,5a84c6d,20231028195822,00:02
92,2,6,4,pytest,7,5a84c6d,20231028195822,00:02
92,6,13,4,pytest,6,5a84c6d,20231028195822,00:02
92,3,8,4,pytest,6,5a84c6d,20231028195822,00:02
92,4,10,4,pytest,6,5a84c6d,20231028195822,00:02
92,2,5,4,terraform test,2,5a84c6d,20231028195822,00:02
92,1,1,4,terraform test,7,5a84c6d,20231028195822,00:02
92,1,2,4,terraform test,2,5a84c6d,20231028195822,00:02
