build,defect_category,test_case,test_approach,test_tool,runtime(seconds),costs(USD),revision,build_start,build_duration(hh:mm:ss)
110,8,NA,1,terraform fmt,0,NA,2a3433a,20231103094044,00:01:37
110,8,NA,2,terraform validate,2,NA,2a3433a,20231103094044,00:01:37
110,6,NA,3,tfsec,8,NA,2a3433a,20231103094044,00:01:37
110,2,6,4,pytest,6,NA,2a3433a,20231103094044,00:01:37
110,6,13,4,pytest,7,NA,2a3433a,20231103094044,00:01:37
110,3,8,4,pytest,6,NA,2a3433a,20231103094044,00:01:37
110,4,10,4,pytest,6,NA,2a3433a,20231103094044,00:01:37
110,2,5,4,terraform test,2,NA,2a3433a,20231103094044,00:01:37
110,1,1,4,terraform test,6,NA,2a3433a,20231103094044,00:01:37
110,1,2,4,terraform test,2,NA,2a3433a,20231103094044,00:01:37
113,8,NA,1,terraform fmt,0,NA,094be90,20231103175959,01:24:27
113,8,NA,2,terraform validate,3,NA,094be90,20231103175959,01:24:27
113,6,NA,3,tfsec,8,NA,094be90,20231103175959,01:24:27
113,2,6,4,pytest,6,NA,094be90,20231103175959,01:24:27
113,6,13,4,pytest,6,NA,094be90,20231103175959,01:24:27
113,3,8,4,pytest,6,NA,094be90,20231103175959,01:24:27
113,4,10,4,pytest,7,NA,094be90,20231103175959,01:24:27
113,2,5,4,terraform test,2,NA,094be90,20231103175959,01:24:27
113,1,1,4,terraform test,6,NA,094be90,20231103175959,01:24:27
113,1,2,4,terraform test,2,NA,094be90,20231103175959,01:24:27
113,NA,NA,5,terraform apply,1015,NA,094be90,20231103175959,01:24:27
113,3,9,5,terraform test,4,0.04555,094be90,20231103175959,01:24:27
113,1,4,5,terraform test,3,0.0455,094be90,20231103175959,01:24:27
113,2,7,5,terraform test,4,0.04555,094be90,20231103175959,01:24:27
113,NA,NA,5,terraform destroy,641,NA,094be90,20231103175959,01:24:27
113,1,3,5,terraform test,1791,0.18861,094be90,20231103175959,01:24:27
113,5,11,5,terratest,1438,0.16959,094be90,20231103175959,01:24:27
114,8,NA,1,terraform fmt,0,NA,094be90,20231103194717,01:21:17
114,8,NA,2,terraform validate,3,NA,094be90,20231103194717,01:21:17
114,6,NA,3,tfsec,8,NA,094be90,20231103194717,01:21:17
114,2,6,4,pytest,6,NA,094be90,20231103194717,01:21:17
114,6,13,4,pytest,6,NA,094be90,20231103194717,01:21:17
114,3,8,4,pytest,6,NA,094be90,20231103194717,01:21:17
114,4,10,4,pytest,6,NA,094be90,20231103194717,01:21:17
114,2,5,4,terraform test,2,NA,094be90,20231103194717,01:21:17
114,1,1,4,terraform test,5,NA,094be90,20231103194717,01:21:17
114,1,2,4,terraform test,3,NA,094be90,20231103194717,01:21:17
114,NA,NA,5,terraform apply,910,NA,094be90,20231103194717,01:21:17
114,3,9,5,terraform test,4,0.0428,094be90,20231103194717,01:21:17
114,1,4,5,terraform test,4,0.0428,094be90,20231103194717,01:21:17
114,2,7,5,terraform test,3,0.04275,094be90,20231103194717,01:21:17
114,NA,NA,5,terraform destroy,542,NA,094be90,20231103194717,01:21:17
114,1,3,5,terraform test,1700,0.1837,094be90,20231103194717,01:21:17
114,5,11,5,terratest,1556,0.17595,094be90,20231103194717,01:21:17
115,8,NA,1,terraform fmt,0,NA,094be90,20231104091102,01:19:32
115,8,NA,2,terraform validate,3,NA,094be90,20231104091102,01:19:32
115,6,NA,3,tfsec,9,NA,094be90,20231104091102,01:19:32
115,2,6,4,pytest,7,NA,094be90,20231104091102,01:19:32
115,6,13,4,pytest,6,NA,094be90,20231104091102,01:19:32
115,3,8,4,pytest,6,NA,094be90,20231104091102,01:19:32
115,4,10,4,pytest,7,NA,094be90,20231104091102,01:19:32
115,2,5,4,terraform test,2,NA,094be90,20231104091102,01:19:32
115,1,1,4,terraform test,6,NA,094be90,20231104091102,01:19:32
115,1,2,4,terraform test,3,NA,094be90,20231104091102,01:19:32
115,NA,NA,5,terraform apply,888,NA,094be90,20231104091102,01:19:32
115,3,9,5,terraform test,4,0.04269,094be90,20231104091102,01:19:32
115,1,4,5,terraform test,3,0.04264,094be90,20231104091102,01:19:32
115,2,7,5,terraform test,4,0.04269,094be90,20231104091102,01:19:32
115,NA,NA,5,terraform destroy,559,NA,094be90,20231104091102,01:19:32
115,1,3,5,terraform test,1650,0.18101,094be90,20231104091102,01:19:32
115,5,11,5,terratest,1492,0.1725,094be90,20231104091102,01:19:32
119,8,NA,1,terraform fmt,0,NA,35a45d7,20231104112634,01:21:39
119,8,NA,2,terraform validate,2,NA,35a45d7,20231104112634,01:21:39
119,6,NA,3,tfsec,8,NA,35a45d7,20231104112634,01:21:39
119,2,6,4,pytest,7,NA,35a45d7,20231104112634,01:21:39
119,6,13,4,pytest,6,NA,35a45d7,20231104112634,01:21:39
119,3,8,4,pytest,6,NA,35a45d7,20231104112634,01:21:39
119,4,10,4,pytest,7,NA,35a45d7,20231104112634,01:21:39
119,2,5,4,terraform test,2,NA,35a45d7,20231104112634,01:21:39
119,1,1,4,terraform test,6,NA,35a45d7,20231104112634,01:21:39
119,1,2,4,terraform test,3,NA,35a45d7,20231104112634,01:21:39
119,NA,NA,5,terraform apply,953,NA,35a45d7,20231104112634,01:21:39
119,3,9,5,terraform test,4,0.0449,35a45d7,20231104112634,01:21:39
119,1,4,5,terraform test,3,0.04485,35a45d7,20231104112634,01:21:39
119,2,7,5,terraform test,4,0.0449,35a45d7,20231104112634,01:21:39
119,NA,NA,5,terraform destroy,655,NA,35a45d7,20231104112634,01:21:39
119,1,3,5,terraform test,1535,0.17481,35a45d7,20231104112634,01:21:39
119,5,11,5,terratest,1556,0.17595,35a45d7,20231104112634,01:21:39
